Выгрузка остатков материалов от 22.12.2019 14:13:42

composition;color;width;height

"1";	"шёлк";	"Оранжевый";	"180;	"160;
"10";	"полиэстер";	"Синий";	"200;	"720;
"11";	"хлопок";	"Серый";	"160;	"200;
"12";	"хлопок";	"Оранжевый";	"200;	"1600;
"13";	"хлопок";	"Жёлтый";	"120;	"180;
"14";	"хлопок";	"Лиловый";	"1800;	"120;
"2";	"полиэфир";	"Жёлтый";	"180;	"240;
"3";	"шёлк";	"Зелёный";	"180;	"190;
"4";	"полиэстер";	"Светло-синий";	"180;	"160;
"5";	"полиэстер";	"Оранжевый";	"180;	"120;
"6";	"шёлк";	"Красный";	"180;	"240;
"7";	"полиэфир";	"Оранжевый";	"180;	"240;
"8";	"полиэстер";	"Синий";	"180;	"240;
"9";	"полиэстер";	"Зелёный";	"180;	"720;
